errorNum	errorId	userId	filename	errorType	delay	row	occurredTimestamp	displayedTimestamp	solvedTimestamp	detailFirstOpenedTimestamp	detailLastOpenedTimestamp	solved	displayed	detailOpened	errorDuration	displayedDuration	classActiveDuration	firstDetailToSolvedDuration	lastDetailToSolvedDuration	detailOpenedDelay	updatedCount	setCursorCount	detailOpenedCount	classActivatedCount
1020	681315389	24_102_38_44_40_11_15	Pit.java	field is never used	60000	8	1518688903153	0	1518688904068	0	0	true	false	false	915	0	915	0	0	0	1	0	0	1
2706	-1000538948	0_21_93_34_27_2_16	Ground.java	field is never used	60000	23	1518773977193	0	1518773977943	0	0	true	false	false	750	0	750	0	0	0	1	0	0	1
5671	-1873895737	52_23_21_52_33_116_16	Pit.java	parameter is never used	30000	35	1518789435412	0	1518789441037	0	0	true	false	false	5625	0	5625	0	0	0	1	0	0	1
5083	-706128993	52_23_21_52_22_87_16	Config.java	field is never used	60000	30	1518787028885	1518787776808	0	0	0	false	true	false	1039231	39841	99841	0	0	0	1	0	0	5
5361	1455578509	52_23_21_52_25_110_16	Pit.java	parameter is never used	30000	19	1518789420254	0	1518789421788	0	0	true	false	false	1534	0	1534	0	0	0	1	0	0	1
3647	-435678449	0_21_93_34_43_0_16	Pit.java	field is never used	60000	11	1518775324329	0	1518775324860	0	0	true	false	false	531	0	531	0	0	0	1	0	0	1
772	-1810447664	0_21_93_34_47_0_15	Pit.java	field is never used	60000	14	1518687774498	0	1518687776389	0	0	true	false	false	1891	0	1891	0	0	0	1	0	0	1
1323	1045849122	24_102_38_44_51_44_15	Pit.java	field is never used	60000	31	1518688314101	0	1518688314554	0	0	true	false	false	453	0	453	0	0	0	1	0	0	1
1065	1246244511	24_102_38_44_40_11_15	Pit.java	field is never used	60000	9	1518689922068	0	1518689923756	0	0	true	false	false	1688	0	1688	0	0	0	1	0	0	1
1636	-149706341	52_23_21_52_18_111_15	Pit.java	field is never used	60000	8	1518702436973	0	1518702437491	0	0	true	false	false	518	0	518	0	0	0	1	0	0	1
2803	2057969375	0_21_93_34_27_2_16	Pit.java	field is never used	60000	14	1518776793859	0	1518776794774	0	0	true	false	false	915	0	915	0	0	0	1	0	0	1
333	1478928577	0_21_93_34_34_0_15	Config.java	field is never used	60000	31	1518686854389	1518687968644	0	0	0	false	true	false	3170847	228706	288706	0	0	0	1	0	0	19
3607	1032677811	0_21_93_34_43_0_16	Pit.java	parameter is never used	30000	12	1518774586016	0	1518774588224	0	0	true	false	false	2208	0	2208	0	0	0	1	0	0	1
3726	1244110678	0_21_93_34_44_0_16	GameManager.java	variable is never used	60000	79	1518775051647	0	1518775053178	0	0	true	false	false	1531	0	1531	0	0	0	1	0	0	1
3883	-1067244721	0_21_93_34_47_0_16	Config.java	field is never used	60000	29	1518776058075	1518776118075	0	0	0	false	true	false	1166656	25671	85671	0	0	0	1	0	0	2
1013	789609899	24_102_38_44_102_75_15	Pit.java	field is never used	60000	9	1518689976759	0	1518689978541	0	0	true	false	false	1782	0	1782	0	0	0	1	0	0	1
5728	-199666137	52_23_21_52_80_65_16	Pit.java	field is never used	60000	13	1518787787642	1518787847642	1518787859518	0	0	true	true	false	71876	11876	71876	0	0	0	2	0	0	1
4822	-1939498983	52_23_21_52_18_38_16	Config.java	field is never used	60000	27	1518787049086	1518789270999	0	0	0	false	true	false	2424441	16001	76001	0	0	0	1	0	0	9
